fIndex,fname,label,response,session,t_start,t_end,t_resp,subID,pitch,mfcc,mel,scentroid,harm,intensity,xvec,lang,changeIns
24,./playback/STIMULI/chinese/wavFilesTest/BAC009S0065W0350_BAC009S0065W0123_03_54_nspkrs_1.wav,1,1,TEST,0.0,6.75,7.242000000000001,1,15.058430375249657,13.579642763993418,14.660615897168638,103.1148048474173,1.217405550195254,1.9785786154986056,33.93028836134766,0,3.54
11,./playback/STIMULI/chinese/wavFilesTest/BAC009S0038W0122_BAC009S0718W0357_03_53_nspkrs_2.wav,2,2,TEST,0.0,7.1370000000000005,11.779000000000002,1,0.3783375347162803,31.856947697848092,33.52045173906186,164.41980073212676,3.2927426228788192,2.9084737716680706,43.775548888715086,0,3.53
78,./playback/STIMULI/chinese/wavFilesTest/BAC009S0242W0494_BAC009S0242W0152_04_77_nspkrs_1.wav,1,1,TEST,0.0,8.466000000000001,10.203,1,13.499378028469096,27.043057339271616,29.919701328023145,230.6747781673381,1.943882474949298,1.0147303525935314,37.3172561882188,0,4.77
83,./playback/STIMULI/chinese/wavFilesTest/BAC009S0342W0169_BAC009S0342W0129_03_49_nspkrs_1.wav,1,1,TEST,0.0,6.5920000000000005,11.054,1,11.594473469494972,23.634577070468495,32.21001007678823,11.589208935072804,0.8270017983226445,0.35931407803970217,33.46936778911836,0,3.49
44,./playback/STIMULI/chinese/wavFilesTest/BAC009S0110W0303_BAC009S0110W0230_03_54_nspkrs_1.wav,1,1,TEST,0.0,7.097,19.298,1,7.1818467582278345,16.987838711226207,20.389335495343023,33.47133911642027,1.3192473375191565,0.5371624128434576,30.164972107999013,0,3.54
95,./playback/STIMULI/chinese/wavFilesTest/BAC009S0722W0155_BAC009S0734W0159_04_82_nspkrs_2.wav,2,2,TEST,0.0,7.827999999999999,9.359,1,19.059508669896545,48.979638273886415,50.687212264221024,126.15884394860541,2.0774303459908054,3.3443618662303862,45.07906280083319,0,4.82
48,./playback/STIMULI/chinese/wavFilesTest/BAC009S0121W0178_BAC009S0122W0348_04_55_nspkrs_2.wav,2,2,TEST,0.0,7.678,10.61,1,21.93089271016558,38.65507373465617,39.529229498252114,98.39831979524712,4.565725194461418,3.0561670297281296,42.13416108479039,0,4.55
39,./playback/STIMULI/chinese/wavFilesTest/BAC009S0091W0409_BAC009S0091W0381_04_56_nspkrs_1.wav,1,1,TEST,0.0,8.63,9.12,1,13.108588806030696,25.094638679081648,26.642363881485387,94.18874560793193,5.5691439139156795,2.9142942675177466,24.76899787623773,0,4.56
51,./playback/STIMULI/chinese/wavFilesTest/BAC009S0128W0416_BAC009S0128W0353_02_59_nspkrs_1.wav,1,1,TEST,0.0,6.8389999999999995,8.035,1,0.9489970156377581,13.286366208594634,15.880133753790703,37.932668795320296,1.690314328036175,0.24908799112540692,33.67973798485848,0,2.59
62,./playback/STIMULI/chinese/wavFilesTest/BAC009S0184W0225_BAC009S0660W0219_03_92_nspkrs_2.wav,2,2,TEST,0.0,7.928,10.472999999999999,1,2.5995293404950246,40.80715744497643,42.17276187398624,357.66276560210474,3.4810010033094105,5.982830808348666,37.055100176481815,0,3.92
79,./playback/STIMULI/chinese/wavFilesTest/BAC009S0247W0341_BAC009S0247W0268_02_54_nspkrs_1.wav,1,1,TEST,0.0,6.6579999999999995,7.062,1,11.33027045550206,24.95596022294744,25.559940152328437,1.476523502256498,0.45565371598803495,4.265890852700082,29.54113815798131,0,2.54
9,./playback/STIMULI/chinese/wavFilesTest/BAC009S0036W0376_BAC009S0036W0336_03_34_nspkrs_1.wav,1,1,TEST,0.0,8.352,8.831,1,1.6142605110378128,18.126683828648837,18.455999366141885,1.6845611777881118,1.4871279418863281,0.5338875789037019,28.877707768274227,0,3.34
16,./playback/STIMULI/chinese/wavFilesTest/BAC009S0049W0316_BAC009S0049W0136_03_24_nspkrs_1.wav,1,1,TEST,0.0,6.117000000000001,6.475,1,18.338331694475457,24.83951315090181,26.142725267837427,90.68709085900417,1.0327424792998698,0.4947049558855525,34.14307036532262,0,3.24
40,./playback/STIMULI/chinese/wavFilesTest/BAC009S0092W0416_BAC009S0092W0154_04_81_nspkrs_1.wav,1,1,TEST,0.0,7.692,8.26,1,1.488605988750848,25.533339616796013,26.156697290445788,49.73250036935258,3.348414168501753,0.06338667174905765,34.18549631438452,0,4.81
20,./playback/STIMULI/chinese/wavFilesTest/BAC009S0059W0167_BAC009S0117W0410_03_10_nspkrs_2.wav,2,1,TEST,0.0,6.28,8.234,1,4.5985301637261955,22.471080160351452,25.76473771407162,91.53770985899888,0.6378671446578608,1.1418182246987527,50.74729455884636,0,3.1
26,./playback/STIMULI/chinese/wavFilesTest/BAC009S0068W0324_BAC009S0906W0357_04_27_nspkrs_2.wav,2,2,TEST,0.0,7.249,7.473,1,14.712300878272103,30.570498304622763,31.567123761654983,107.78432119734691,2.292811179731067,1.1346051843516705,58.557152905267486,0,4.27
66,./playback/STIMULI/chinese/wavFilesTest/BAC009S0194W0331_BAC009S0194W0185_04_71_nspkrs_1.wav,1,2,TEST,0.0,7.832999999999999,9.331,1,2.4012147632085146,17.707310765532803,20.354282810116068,8.695420313024556,1.4402249211723959,2.1925486742932208,32.1269039363772,0,4.71
4,./playback/STIMULI/chinese/wavFilesTest/BAC009S0012W0137_BAC009S0052W0186_03_80_nspkrs_2.wav,2,2,TEST,0.0,7.702000000000001,8.043,1,0.6056201695250394,26.65170095329788,30.099504871760306,8.541811367839387,1.5220811964249812,3.6423888468674193,47.677709530704476,0,3.8
12,./playback/STIMULI/chinese/wavFilesTest/BAC009S0039W0369_BAC009S0058W0344_04_43_nspkrs_2.wav,2,2,TEST,0.0,7.487,7.487,1,7.023952250179917,24.456439552895,25.881788412835302,8.009874687467743,2.387671243351809,0.7409667479294768,44.29197409859701,0,4.43
33,./playback/STIMULI/chinese/wavFilesTest/BAC009S0083W0424_BAC009S0083W0264_03_65_nspkrs_1.wav,1,1,TEST,0.0,6.999,7.56,1,13.949551125570977,10.800893751145901,14.64789853956354,43.988065038693094,1.204554260180494,0.5738074514396772,28.740023338025228,0,3.65
103,./playback/STIMULI/chinese/wavFilesTest/BAC009S0901W0266_BAC009S0901W0192_02_88_nspkrs_1.wav,1,1,TEST,0.0,6.21,6.9079999999999995,1,32.52787790799283,39.283408142089115,40.380730595066666,238.89253635770928,3.023073530202028,1.044413991902573,35.18097802324256,0,2.88
75,./playback/STIMULI/chinese/wavFilesTest/BAC009S0214W0262_BAC009S0757W0439_03_23_nspkrs_2.wav,2,1,TEST,0.0,7.632000000000001,9.116,1,20.319201717588726,44.661850132585634,47.401622455522755,372.9767661416464,0.9463161896994237,1.4414840753451017,42.33810458956299,0,3.23
71,./playback/STIMULI/chinese/wavFilesTest/BAC009S0202W0408_BAC009S0202W0238_03_23_nspkrs_1.wav,1,1,TEST,0.0,5.8870000000000005,7.808,1,17.074302722710115,33.261897846103054,35.16989955180013,147.4385973256915,8.14927707476002,1.4447670393713565,31.876964252973977,0,3.23
36,./playback/STIMULI/chinese/wavFilesTest/BAC009S0089W0349_BAC009S0089W0154_04_16_nspkrs_1.wav,1,1,TEST,0.0,7.006,7.635,1,13.173362724231794,29.878892217947666,31.774409071763642,18.39123086897746,0.3037616070058835,3.277820980589439,28.232919936294657,0,4.16
30,./playback/STIMULI/chinese/wavFilesTest/BAC009S0072W0368_BAC009S0121W0189_03_65_nspkrs_2.wav,2,2,TEST,0.0,7.397,8.392999999999999,1,11.041651687457076,28.33526126620537,30.88491927701513,85.6510065734156,1.8018216172454746,5.660943241057311,43.23992032117389,0,3.65
70,./playback/STIMULI/chinese/wavFilesTest/BAC009S0197W0428_BAC009S0197W0146_03_55_nspkrs_1.wav,1,1,TEST,0.0,6.412999999999999,6.8420000000000005,1,6.1972416134178445,34.14366600469378,38.24054061304483,223.31945801013762,4.077404952548175,0.5152155075314653,44.66641480839067,0,3.55
35,./playback/STIMULI/chinese/wavFilesTest/BAC009S0089W0196_BAC009S0705W0255_04_30_nspkrs_2.wav,2,2,TEST,0.0,7.632000000000001,8.093,1,7.011761318110672,18.52482222910993,19.386167164218374,144.03575738693507,2.2080807478931703,0.1234432953215645,51.20181019613288,0,4.3
86,./playback/STIMULI/chinese/wavFilesTest/BAC009S0350W0164_BAC009S0513W0149_03_50_nspkrs_2.wav,2,2,TEST,0.0,7.093,9.633,1,12.315402965166669,16.884890235921684,21.159222634074453,73.28389889427888,1.6916724485063348,0.122090086296609,47.934654703675434,0,3.5
