fIndex,fname,label,response,session,t_start,t_end,t_resp,subID,pitch,mfcc,mel,scentroid,harm,intensity,xvec,lang,changeIns,RT,incorrect
7,./playback/STIMULI/chinese/wavFilesTest/BAC009S0030W0393_BAC009S0030W0127_02_95_nspkrs_1.wav,1,1,TRAIN,0.0,7.302,7.978,1,11.650012184032507,40.30600159429209,42.3834785878509,190.4682509231278,3.6221398245785768,1.992793293665997,0.0,0,2.95,0.6760000000000002,0
1,./playback/STIMULI/chinese/wavFilesTest/BAC009S0005W0398_BAC009S0005W0281_03_12_nspkrs_1.wav,1,1,TRAIN,0.0,6.282,6.787000000000001,1,3.505674631196229,36.47231979104891,37.38560484785904,52.45378562476003,4.409831225819658,1.5003060749929489,0.0,0,3.12,0.5050000000000008,0
6,./playback/STIMULI/chinese/wavFilesTest/BAC009S0024W0461_BAC009S0024W0342_03_09_nspkrs_1.wav,1,1,TRAIN,0.0,5.754,6.209,1,4.703020680567789,19.73372147623432,21.027099780450705,148.6352319570153,1.28910624630862,2.3019541656073703,0.0,0,3.09,0.45500000000000007,0
2,./playback/STIMULI/chinese/wavFilesTest/BAC009S0006W0204_BAC009S0019W0258_03_45_nspkrs_2.wav,2,2,TRAIN,0.0,7.001,7.4529999999999985,1,0.01149018881972097,37.97059329784704,39.959697062559854,57.21180216250946,0.23516022184463914,3.270813425864844,0.0,0,3.45,0.4519999999999982,0
8,./playback/STIMULI/chinese/wavFilesTest/BAC009S0032W0445_BAC009S0032W0219_03_81_nspkrs_1.wav,1,2,TRAIN,0.0,7.391,8.875,1,8.93097109447885,38.44889648103846,40.005523586018356,91.52937271220871,2.9806038578159666,2.415773592296077,0.0,0,3.81,1.484,1
3,./playback/STIMULI/chinese/wavFilesTest/BAC009S0010W0452_BAC009S0010W0203_02_94_nspkrs_1.wav,1,1,TRAIN,0.0,5.814,7.1960000000000015,1,1.1584252692387054,38.961851302782506,39.869455010882966,115.11010926205358,1.3815433209272028,0.5784511134237249,0.0,0,2.94,1.3820000000000014,0
60,./playback/STIMULI/chinese/wavFilesTest/BAC009S0167W0400_BAC009S0167W0388_02_72_nspkrs_1.wav,1,1,TEST,0.0,6.524,7.1,1,20.03263146503011,15.416757760266545,21.34494815639038,74.96125674301976,1.912879225673908,0.9903594836919324,34.42213043909545,0,2.72,0.5759999999999996,0
23,./playback/STIMULI/chinese/wavFilesTest/BAC009S0064W0353_BAC009S0064W0267_03_02_nspkrs_1.wav,1,1,TEST,0.0,7.561,8.017999999999999,1,1.5267296601038682,21.67054043932044,22.098153398523227,213.6981933569686,0.34189052404950626,0.3927268045853509,31.215648188521165,0,3.02,0.45699999999999896,0
53,./playback/STIMULI/chinese/wavFilesTest/BAC009S0131W0134_BAC009S0198W0373_03_08_nspkrs_2.wav,2,2,TEST,0.0,7.803,8.482999999999999,1,4.348191973527065,40.32344396205559,42.471693544617295,227.74625021057372,1.0033271367243604,0.3292938470786311,57.6586101634348,0,3.08,0.6799999999999988,0
15,./playback/STIMULI/chinese/wavFilesTest/BAC009S0046W0243_BAC009S0102W0212_03_56_nspkrs_2.wav,2,1,TEST,0.0,7.217,7.644,1,3.5047572481865927,23.900738494955764,26.144663444786183,100.74582543894905,1.9876004756755776,0.02177863568455507,55.116579451955545,0,3.56,0.4270000000000005,1
45,./playback/STIMULI/chinese/wavFilesTest/BAC009S0112W0207_BAC009S0734W0409_02_53_nspkrs_2.wav,2,1,TEST,0.0,5.143,5.7029999999999985,1,1.6952387605428498,44.49447917882309,45.74400689171846,11.257437368238357,0.20328520186495247,2.5180858778960133,46.407622079765645,0,2.53,0.5599999999999987,1
24,./playback/STIMULI/chinese/wavFilesTest/BAC009S0065W0350_BAC009S0065W0123_03_54_nspkrs_1.wav,1,1,TEST,0.0,6.75,7.242000000000001,1,15.058430375249655,13.579642763993418,14.660615897168636,103.1148048474173,1.217405550195254,1.9785786154986056,33.930288361347664,0,3.54,0.4920000000000009,0
11,./playback/STIMULI/chinese/wavFilesTest/BAC009S0038W0122_BAC009S0718W0357_03_53_nspkrs_2.wav,2,2,TEST,0.0,7.1370000000000005,11.779000000000002,1,0.3783375347162803,31.856947697848092,33.52045173906186,164.41980073212676,3.2927426228788192,2.90847377166807,43.77554888871509,0,3.53,4.642000000000001,0
78,./playback/STIMULI/chinese/wavFilesTest/BAC009S0242W0494_BAC009S0242W0152_04_77_nspkrs_1.wav,1,1,TEST,0.0,8.466000000000001,10.203,1,13.499378028469096,27.043057339271613,29.919701328023145,230.6747781673381,1.9438824749492982,1.0147303525935314,37.3172561882188,0,4.77,1.7369999999999983,0
83,./playback/STIMULI/chinese/wavFilesTest/BAC009S0342W0169_BAC009S0342W0129_03_49_nspkrs_1.wav,1,1,TEST,0.0,6.5920000000000005,11.054,1,11.594473469494972,23.634577070468488,32.21001007678823,11.589208935072804,0.8270017983226445,0.35931407803970217,33.46936778911836,0,3.49,4.462,0
44,./playback/STIMULI/chinese/wavFilesTest/BAC009S0110W0303_BAC009S0110W0230_03_54_nspkrs_1.wav,1,1,TEST,0.0,7.097,19.298,1,7.1818467582278345,16.987838711226207,20.389335495343023,33.47133911642027,1.3192473375191565,0.5371624128434576,30.16497210799901,0,3.54,12.200999999999997,0
95,./playback/STIMULI/chinese/wavFilesTest/BAC009S0722W0155_BAC009S0734W0159_04_82_nspkrs_2.wav,2,2,TEST,0.0,7.8279999999999985,9.359,1,19.059508669896548,48.97963827388642,50.68721226422102,126.15884394860541,2.077430345990805,3.3443618662303862,45.079062800833185,0,4.82,1.5310000000000015,0
