4,./playback/STIMULI/english/wavFilesTest/1081-125237-0096_1081-125237-0009_02_92_nspkrs_1.wav,1,1,TRAIN, 0.00,5.576,6.847
14,./playback/STIMULI/english/wavFilesTest/1259-27120-0025_1259-137770-0014_02_90_nspkrs_1.wav,1,1,TRAIN, 0.00,7.165,7.763
9,./playback/STIMULI/english/wavFilesTest/115-122944-0032_4899-32637-0006_04_54_nspkrs_2.wav,2,2,TRAIN, 0.00,9.623,10.352
15,./playback/STIMULI/english/wavFilesTest/126-122467-0042_126-122467-0021_02_90_nspkrs_1.wav,1,1,TRAIN, 0.00,7.301,8.693
8,./playback/STIMULI/english/wavFilesTest/1098-133695-0077_211-122442-0035_04_80_nspkrs_2.wav,2,2,TRAIN, 0.00,9.185,9.613
5,./playback/STIMULI/english/wavFilesTest/1089-134686-0032_7832-258250-0055_04_09_nspkrs_2.wav,2,2,TRAIN, 0.00,8.302,8.807
10,./playback/STIMULI/english/wavFilesTest/1160-139717-0011_1455-138263-0002_04_55_nspkrs_2.wav,2,2,TRAIN, 0.00,7.878,8.387
6,./playback/STIMULI/english/wavFilesTest/1089-134691-0018_1089-134686-0027_03_09_nspkrs_1.wav,1,1,TRAIN, 0.00,5.861,6.814
1,./playback/STIMULI/english/wavFilesTest/1034-121119-0041_1034-121119-0035_04_62_nspkrs_1.wav,1,1,TRAIN, 0.00,7.485,8.022
7,./playback/STIMULI/english/wavFilesTest/1093-132891-0112_7395-89882-0032_03_45_nspkrs_2.wav,2,2,TRAIN, 0.00,8.050,8.496
12,./playback/STIMULI/english/wavFilesTest/121-127105-0017_121-121726-0002_02_69_nspkrs_1.wav,1,1,TEST, 0.00,7.173,7.826
103,./playback/STIMULI/english/wavFilesTest/7276-90847-0021_7276-284424-0026_02_62_nspkrs_1.wav,1,2,TEST, 0.00,6.453,7.242
101,./playback/STIMULI/english/wavFilesTest/718-129597-0066_8063-274112-0003_03_84_nspkrs_2.wav,2,2,TEST, 0.00,7.679,8.237
49,./playback/STIMULI/english/wavFilesTest/2823-160964-0029_5104-33406-0021_04_71_nspkrs_2.wav,2,2,TEST, 0.00,9.371,9.738
96,./playback/STIMULI/english/wavFilesTest/6295-244435-0028_7188-104637-0037_02_56_nspkrs_2.wav,2,1,TEST, 0.00,5.184,6.448
45,./playback/STIMULI/english/wavFilesTest/2514-149482-0072_5105-28240-0007_04_95_nspkrs_2.wav,2,2,TEST, 0.00,9.658,10.247
110,./playback/STIMULI/english/wavFilesTest/986-129388-0046_986-129388-0002_03_65_nspkrs_1.wav,1,2,TEST, 0.00,6.630,7.077
25,./playback/STIMULI/english/wavFilesTest/1594-135914-0052_5776-46889-0111_03_56_nspkrs_2.wav,2,2,TEST, 0.00,7.113,7.641
36,./playback/STIMULI/english/wavFilesTest/2136-5143-0001_7729-102255-0000_02_90_nspkrs_2.wav,2,2,TEST, 0.00,6.258,6.750
47,./playback/STIMULI/english/wavFilesTest/2741-159386-0015_5660-101884-0019_03_19_nspkrs_2.wav,2,2,TEST, 0.00,7.902,9.892
48,./playback/STIMULI/english/wavFilesTest/2764-36619-0018_6233-36633-0005_03_83_nspkrs_2.wav,2,2,TEST, 0.00,8.405,9.045
104,./playback/STIMULI/english/wavFilesTest/7302-86814-0041_7302-86814-0031_04_57_nspkrs_1.wav,1,1,TEST, 0.00,7.439,7.917
30,./playback/STIMULI/english/wavFilesTest/1898-145724-0024_434-132644-0032_04_10_nspkrs_2.wav,2,2,TEST, 0.00,8.439,8.823
87,./playback/STIMULI/english/wavFilesTest/5684-46243-0050_84-121123-0018_03_21_nspkrs_2.wav,2,2,TEST, 0.00,6.832,7.078
95,./playback/STIMULI/english/wavFilesTest/6294-86679-0038_8464-282934-0001_02_83_nspkrs_2.wav,2,2,TEST, 0.00,5.519,6.214
46,./playback/STIMULI/english/wavFilesTest/2618-138042-0064_2618-138042-0022_04_00_nspkrs_1.wav,1,2,TEST, 0.00,7.577,8.053
65,./playback/STIMULI/english/wavFilesTest/3630-24758-0009_5652-19215-0011_04_81_nspkrs_2.wav,2,2,TEST, 0.00,9.297,9.844
99,./playback/STIMULI/english/wavFilesTest/6924-114452-0012_6924-114452-0004_02_69_nspkrs_1.wav,1,1,TEST, 0.00,7.165,7.719
52,./playback/STIMULI/english/wavFilesTest/2893-139310-0017_2893-139310-0014_03_96_nspkrs_1.wav,1,2,TEST, 0.00,8.587,9.872
44,./playback/STIMULI/english/wavFilesTest/251-137823-0025_251-137823-0015_03_66_nspkrs_1.wav,1,1,TEST, 0.00,6.352,7.758
