Hit,Miss,FA
74,12,18
90,10,18
84,16,14
88,12,4
86,14,28
90,10,12
90,10,20
92,8,18
92,8,8
90,10,16
78,22,6
84,16,22
92,8,22
78,22,14
76,24,24
80,20,14
86,14,24
90,10,18
88,12,18
86,14,12
76,24,38
82,18,24
88,12,18
84,16,14
92,8,28
74,26,12
70,30,12
44,56,42
